objid,ra,dec,u,g,r,i,z,run,camcol,field,specObjID
1237659120396009642,213.268077196855,52.1164707918151,20.7073,20.38651,20.27203,20.2248,20.04869,3177,5,58,8264196446053750784
1237659120396009783,213.203441775276,52.1284209631083,24.93485,22.53521,21.49035,20.82659,20.30259,3177,5,58,0
1237659120396075096,213.412465986531,51.9515252745731,20.21493,19.9054,19.92216,19.91556,19.85427,3177,5,59,8264185970158753792
1237659120396075506,213.451474768705,51.9379968969056,22.83068,21.99503,21.38355,20.99575,20.77266,3177,5,59,7912892273452668928
1237659120396140570,213.759265557984,52.0557929506345,17.76128,16.59172,16.18532,16.04713,16.02548,3177,5,60,0
1237659120396140967,213.686459190408,52.0107391215551,22.64963,21.84366,21.53168,21.22415,20.97393,3177,5,60,8263060344039299072
1237659120396206190,213.818104434024,51.8301549468828,21.37235,20.0386,19.58484,19.49739,19.29648,3177,5,61,0
1237659120396206219,213.953927510216,51.9283482965825,19.51754,17.85497,17.03352,16.64925,16.32063,3177,5,61,1176689418304514048
1237659120932749942,213.161147804428,52.5809292326939,22.52781,22.41121,21.95972,21.78621,21.92876,3177,6,56,0
1237659120932815012,213.356614802926,52.4939326806204,25.0219,21.30664,19.81916,18.6683,17.99145,3177,6,57,0
1237659120932815014,213.356011674632,52.4956000999991,25.09762,24.98116,21.75225,20.7537,20.59218,3177,6,57,0
1237659120932815030,213.268271252766,52.601398570415,20.26213,20.29664,20.30756,20.1002,19.95709,3177,6,57,8263064741246949376
1237659120932815033,213.266473147375,52.5908904131916,21.56911,20.80768,20.48107,20.36907,20.36835,3177,6,57,0
1237659120932880546,213.589739772544,52.4944746310597,19.81238,19.20047,18.79602,18.6243,18.3161,3177,6,58,8261926214723459072
1237659120932880924,213.574389417326,52.4671663454989,22.31751,21.62443,20.63767,20.24389,20.52809,3177,6,58,0
1237659120932946121,213.651525769446,52.3292495575651,20.895,18.39217,17.11214,16.51913,16.20456,3177,6,59,0
1237659120932946122,213.664015058956,52.3329638119304,18.30812,17.05585,16.51419,16.17959,15.96227,3177,6,59,1176668252705679360
1237659120932946132,213.699223222029,52.3306941911485,21.94804,19.95322,18.48666,17.5235,17.01887,3177,6,59,0
1237659120933011596,213.902963243498,52.3539352614878,19.72268,18.67755,18.44249,18.34934,18.35769,3177,6,60,7916336768504584192
1237659120933077046,214.196691387654,52.1875726351949,18.8382,18.67367,18.52811,18.48701,18.25863,3177,6,61,8263039453318371328
1237659120933077327,214.149243828438,52.3708141661561,24.05658,22.00536,21.51191,20.95406,20.33975,3177,6,61,0
1237659120933077309,214.14869513269,52.3977724490792,22.43197,21.29812,20.77433,20.47875,20.02771,3177,6,61,0
1237659120933077440,214.148917594254,52.266730170112,24.20936,22.33443,21.11109,20.81754,20.41334,3177,6,61,0
1237659120933077458,214.150613134216,52.2513834821647,22.21315,21.47941,21.05846,21.04335,21.32086,3177,6,61,0
1237659120933077461,214.219232586712,52.3472662979246,23.60741,22.22468,21.84644,22.05878,21.17776,3177,6,61,0
1237659120933077502,214.17294990865,52.260262465356,21.00383,20.85173,19.87021,19.50462,18.75843,3177,6,61,0
1237659120933077508,214.239091988879,52.3441387301295,25.17167,22.67201,21.8392,21.48666,21.19008,3177,6,61,0
